,2P,2P.1,2PA,3P,3P.1,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,MP,ORB,PF,PTS,Player,STL,TOV,TRB,Year,Traded,Pos_C,Pos_C-PF,Pos_C-SF,Pos_F,Pos_G-F,Pos_PF,Pos_PF-C,Pos_PF-SF,Pos_PG,Pos_PG-SG,Pos_SF,Pos_SF-PF,Pos_SF-SG,Pos_SG,Pos_SG-PF,Pos_SG-PG,Pos_SG-SF
1408,1.1,0.45,2.5,0.5,0.336,1.3,3.5,31,0.2,1.6,1.6,0.41,3.8,0.7,0.671,1,80,13,19.6,0.7,1.8,4.3,Earl Watson,0.8,1.5,2.3,2011.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1409,0.9,0.407,2.2,0.2,0.192,1,4.3,32,0.4,1.8,1.1,0.338,3.2,0.6,0.674,0.9,50,2,20.7,0.6,2.1,3,Earl Watson,1.1,1.7,2.4,2012.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1410,0.7,0.348,1.9,0.1,0.179,0.6,4,33,0.2,1.3,0.8,0.308,2.5,0.4,0.68,0.5,48,4,17.3,0.5,2,2,Earl Watson,0.8,1.4,1.8,2013.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1411,0,0.25,0.2,0.1,0.286,0.3,1.2,34,0,0.4,0.1,0.273,0.5,0.2,1,0.2,24,0,6.7,0.2,1.4,0.5,Earl Watson,0.2,0.7,0.6,2014.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1412,3.3,0.576,5.7,0,0.0,0,0.6,21,1,4.5,3.3,0.576,5.7,1.1,0.555,2,65,17,24.6,2.6,2.8,7.7,Ed Davis,0.6,0.7,7.1,2011.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1413,2.6,0.515,5.1,0,0.0,0,0.9,22,1,4.6,2.6,0.513,5.1,1.1,0.67,1.6,66,9,23.2,2,2.4,6.3,Ed Davis,0.6,1,6.6,2012.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1414,3.2,0.539,6,0,0.0,0,0.8,23,1,3.8,3.2,0.539,6,1.3,0.617,2.1,81,28,20.1,1.9,2.4,7.7,Ed Davis,0.5,0.8,5.7,2013.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1415,2.5,0.534,4.6,0,0.0,0,0.4,24,0.7,2.7,2.5,0.534,4.6,0.7,0.528,1.4,63,4,15.2,1.5,1.8,5.7,Ed Davis,0.3,0.6,4.1,2014.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1416,0.7,0.467,1.6,0.1,0.143,0.4,0.4,22,0.1,1.1,0.8,0.405,1.9,0.4,0.8,0.5,19,0,7.4,0.4,0.9,2.1,Eddie Basden,0.5,0.5,1.5,2006.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1417,0.6,0.36,1.7,0.5,0.308,1.6,1.1,26,0.1,1.3,1.1,0.335,3.3,1,0.877,1.1,73,3,14,0.2,1.4,3.7,Eddie Gill,0.8,0.8,1.5,2005.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
